CWE,CWE Count,EPSS
CWE-73,10,0.002061
CWE-538,10,0.001065
CWE-297,9,0.0018077777777777777
CWE-359,9,0.0027722222222222224
CWE-172,9,0.0022199999999999998
CWE-912,8,0.01012
CWE-332,8,0.021271250000000002
CWE-472,7,0.0026857142857142856
CWE-385,7,0.00467
CWE-201,7,0.0009371428571428571
CWE-305,7,0.0023799999999999997
CWE-838,7,0.0011214285714285714
CWE-361,7,0.0275
CWE-789,7,0.0005385714285714285
CWE-18,6,0.031213333333333333
CWE-61,6,0.0008933333333333333
CWE-379,6,0.0006
CWE-799,6,0.00127
CWE-117,6,0.0010083333333333333
CWE-199,6,0.0026266666666666665
CWE-489,6,0.0008133333333333333
CWE-248,6,0.0019633333333333334
CWE-170,6,0.002195
CWE-259,5,0.0016220000000000002
CWE-823,5,0.0011519999999999998
CWE-1284,5,0.001074
CWE-208,5,0.00071
CWE-471,5,0.002294
CWE-441,5,0.023166
CWE-497,5,0.000624
CWE-407,5,0.00156
CWE-99,5,0.0019979999999999998
CWE-406,4,0.0012075
CWE-548,4,0.000945
CWE-378,4,0.000435
CWE-300,4,0.0013200000000000002
CWE-840,4,0.00071
CWE-805,3,0.0006833333333333334
CWE-648,3,0.00051
CWE-95,3,0.0020933333333333333
CWE-130,3,0.0012633333333333333
CWE-204,3,0.00066
CWE-440,3,0.0009633333333333333
CWE-1336,3,0.00063
CWE-707,3,0.003623333333333333
CWE-21,3,0.003076666666666667
CWE-664,3,0.0013499999999999999
CWE-1187,3,0.0031433333333333335
CWE-353,3,0.0011533333333333333
CWE-920,3,0.0006666666666666666
CWE-592,3,0.004083333333333334
CWE-460,3,0.00043
CWE-405,3,0.0010933333333333333
CWE-453,2,0.00045
CWE-1,2,0.00199
CWE-620,2,0.00048499999999999997
CWE-534,2,0.011555
CWE-302,2,0.00132
CWE-940,2,0.00047000000000000004
CWE-1022,2,0.00074
CWE-1220,2,0.000455
CWE-1274,2,0.00042
CWE-240,2,0.0012900000000000001
CWE-202,2,0.0015700000000000002
CWE-778,2,0.0006399999999999999
CWE-708,2,0.0016450000000000002
CWE-228,2,0.0019450000000000001
CWE-257,2,0.0009450000000000001
CWE-642,2,0.00116
CWE-657,2,0.00072
CWE-241,2,0.000745
CWE-769,2,0.001725
CWE-807,2,0.00123
CWE-124,2,0.000705
CWE-194,2,0.0009599999999999999
CWE-943,2,0.012015
CWE-75,2,0.001175
CWE-304,2,0.000945
CWE-911,2,0.001185
CWE-603,2,0.000905
CWE-115,2,0.0023450000000000003
CWE-318,2,0.00044
CWE-1004,2,0.00047999999999999996
CWE-833,2,0.000445
CWE-280,2,0.0006900000000000001
CWE-349,2,0.00046
CWE-267,2,0.00107
CWE-549,2,0.00046
CWE-350,2,0.001235
CWE-757,2,0.0010999999999999998
CWE-1286,2,0.000465
CWE-342,2,0.0034000000000000002
CWE-842,2,0.00043
CWE-680,2,0.00056
CWE-112,2,0.001825
CWE-1287,1,0.00044
CWE-29,1,0.00042
CWE-391,1,0.00044
CWE-923,1,0.0006
CWE-691,1,0.00043
CWE-363,1,0.00048
CWE-24,1,0.00053
CWE-424,1,0.00053
CWE-395,1,0.00053
CWE-690,1,0.00049
CWE-1283,1,0.00045
CWE-602,1,0.00091
CWE-1077,1,0.00062
CWE-141,1,0.00057
CWE-562,1,0.00106
CWE-1026,1,0.00091
CWE-571,1,0.00044
CWE-187,1,0.00091
CWE-941,1,0.00048
CWE-523,1,0.00087
CWE-524,1,0.00052
CWE-1282,1,0.00042
CWE-1391,1,0.00043
CWE-322,1,0.00089
CWE-35,1,0.00089
CWE-451,1,0.00105
CWE-274,1,0.0005
CWE-98,1,0.00171
CWE-1320,1,0.00045
CWE-597,1,0.0014
CWE-455,1,0.00042
CWE-671,1,0.0007
CWE-1258,1,0.00087
CWE-84,1,0.0009
CWE-146,1,0.00045
CWE-1108,1,0.00087
CWE-895,1,0.0011
CWE-242,1,0.00084
CWE-183,1,0.00303
CWE-643,1,0.00124
CWE-435,1,0.00074
CWE-323,1,0.00135
CWE-270,1,0.00054
CWE-299,1,0.00044
CWE-303,1,0.00313
CWE-506,1,0.00202
CWE-364,1,0.00044
CWE-114,1,0.00042
CWE-684,1,0.00091
CWE-268,1,0.00042
CWE-325,1,0.0026
CWE-371,1,0.00159
CWE-313,1,0.00173
CWE-216,1,0.00042
CWE-628,1,0.00502
CWE-573,1,0.00054
CWE-317,1,0.00057
CWE-337,1,0.00052
CWE-260,1,0.00235
CWE-774,1,0.00074
CWE-775,1,0.00044
CWE-235,1,0.00063
CWE-759,1,0.00179
CWE-567,1,0.00054
CWE-525,1,0.00042
CWE-507,1,0.00201
CWE-456,1,0.00088
CWE-214,1,0.00152
CWE-15,1,0.00147
CWE-1329,1,0.00059
CWE-1278,1,0.00059
CWE-315,1,0.00044
CWE-710,1,0.00104
CWE-277,1,0.00111
CWE-649,1,0.00133
CWE-36,1,0.00102
CWE-539,1,0.00069
CWE-283,1,0.00071
CWE-598,1,0.00072
CWE-527,1,0.00242
CWE-644,1,0.00072
CWE-540,1,0.00094
CWE-64,1,0.00042
CWE-1076,1,0.0005
CWE-279,1,0.00117
CWE-334,1,0.00054
CWE-195,1,0.06265
CWE-271,1,0.00068
CWE-760,1,0.00046
CWE-229,1,0.00046
